"","system","ratio","order"
"1","Central California Current",77.8985308834978,4
"2","Central California Current",-17.1752923997999,4
"3","Central California Current",-102.296130800767,4
"4","Central California Current",-110.098225938943,4
"5","Central California Current",-144.835127488456,4
"6","Central California Current",-126.899767205224,4
"7","Central California Current",-68.040569777963,4
"8","Central California Current",36.9745214110498,4
"9","Central California Current",-74.4065888725729,4
"10","Central California Current",-131.339765967373,4
"11","Central California Current",-104.552918046228,4
"12","Central California Current",-122.883162693176,4
"13","Central California Current",-180.047024562827,4
"14","Central California Current",28.2994039441786,4
"15","Central California Current",57.6243463356372,4
"16","Central California Current",-63.6210615319671,4
"17","Central California Current",-92.7118887077386,4
"18","Central California Current",1.06124953287716,4
"19","Central California Current",-80.3265197102182,4
"20","Central California Current",-193.864861517873,4
"21","Central California Current",-144.162684750178,4
"22","Central California Current",-134.406648588465,4
"23","Central California Current",-6.36652461658209,4
"24","Central California Current",-85.8880439287739,4
"25","Central California Current",-89.8856290427459,4
"26","Central California Current",-117.263394470596,4
"27","Central California Current",-169.224330512684,4
"28","Central California Current",-58.7625429553092,4
"29","Central California Current",-109.244766128972,4
"30","Central California Current",-100.080611102207,4
"31","Central California Current",-45.3115092248528,4
"32","Central California Current",-196.910959498231,4
"33","Central California Current",10.4202074084001,4
"34","Central California Current",30.1315640812131,4
"35","Central California Current",-64.658584157446,4
"36","Central California Current",-48.076011015515,4
"37","Central California Current",-42.1192987491018,4
"38","Central California Current",-87.2124687960038,4
"39","Central California Current",46.0439766262896,4
"40","Central California Current",-143.646552453709,4
"41","Central California Current",-159.162493670433,4
"42","Central California Current",-130.993116008209,4
"43","Central California Current",-103.881186808855,4
"44","Central California Current",-197.18429021912,4
"45","Central California Current",-95.4765133559476,4
"46","Central California Current",-53.4237642715771,4
"47","Central California Current",-172.180944751841,4
"48","Central California Current",-6.24208138234883,4
"49","Central California Current",-64.581239227183,4
"50","Central California Current",-184.348054538056,4
"51","Central California Current",-18.6589086074752,4
"52","Central California Current",-41.2205745649034,4
"53","Central California Current",-139.837621499008,4
"54","Central California Current",-21.5564385701347,4
"55","Central California Current",-63.1761043177801,4
"56","Central California Current",-191.447895419101,4
"57","Central California Current",27.8503789644289,4
"58","Central California Current",-30.5848284003178,4
"59","Central California Current",-170.466010966227,4
"60","Central California Current",-134.494118409006,4
"61","Central California Current",-88.2251499327252,4
"62","Central California Current",-172.693749847076,4
"63","Central California Current",-35.5271875432831,4
"64","Central California Current",-121.047535887287,4
"65","Central California Current",0.766072866739098,4
"66","Central California Current",-116.482417593644,4
"67","Central California Current",18.0927296084677,4
"68","Central California Current",-108.773820224288,4
"69","Central California Current",-93.0085539100095,4
"70","Central California Current",-89.167154412884,4
"71","Central California Current",8.68677321247952,4
"72","Central California Current",26.0543077541935,4
"73","Central California Current",-143.527785282627,4
"74","Central California Current",98.9219743889806,4
"75","Central California Current",-86.3283299594227,4
"76","Central California Current",-9.77058271075087,4
"77","Central California Current",21.1784440446134,4
"78","Central California Current",-146.135901379481,4
"79","Central California Current",-28.9432565656073,4
"80","Central California Current",7.98688397692454,4
"81","Central California Current",15.4731013960696,4
"82","Central California Current",-40.0063293462937,4
"83","Central California Current",-14.3748797036778,4
"84","Central California Current",-5.24147176014147,4
"85","Central California Current",-99.5148620485598,4
"86","Central California Current",-34.8209839211462,4
"87","Central California Current",-160.187605625407,4
"88","Central California Current",-127.072368924969,4
"89","Central California Current",-176.257441667942,4
"90","Central California Current",-208.490776114486,4
"91","Central California Current",-133.615746227789,4
"92","Central California Current",-56.0637446283009,4
"93","Central California Current",22.8902607180212,4
"94","Central California Current",-45.3336303458067,4
"95","Central California Current",-46.6595277615695,4
"96","Central California Current",-218.125430187761,4
"97","Central California Current",-21.3006770623569,4
"98","Central California Current",27.3491178770659,4
"99","Central California Current",-86.5745951614772,4
"100","Central California Current",-103.293688465033,4
"101","Central California Current",-36.617225748818,4
"102","Central California Current",-56.0639046191397,4
"103","Central California Current",-4.13387398971585,4
"104","Central California Current",-97.727475420589,4
"105","Central California Current",-52.8848943377957,4
"106","Central California Current",-24.0155536253242,4
"107","Central California Current",-189.752487434306,4
"108","Central California Current",-16.301944494363,4
"109","Central California Current",-176.24842028844,4
"110","Central California Current",-110.483239607915,4
"111","Central California Current",-221.81656512295,4
"112","Central California Current",-62.7223033074345,4
"113","Central California Current",-24.1731220040162,4
"114","Central California Current",-55.5821132898757,4
"115","Central California Current",5.89082823474965,4
"116","Central California Current",-63.2571380258321,4
"117","Central California Current",-59.5017892923114,4
"118","Central California Current",-13.3648006687082,4
"119","Central California Current",-72.6052958100504,4
"120","Central California Current",-137.251840899017,4
"121","Central California Current",-128.054293525375,4
"122","Central California Current",-4.53377983703429,4
"123","Central California Current",-177.711854681077,4
"124","Central California Current",-198.829046942657,4
"125","Central California Current",-60.1768648274593,4
"126","Central California Current",54.4455197840227,4
"127","Central California Current",143.281838397362,4
"128","Central California Current",6.44328051858608,4
"129","Central California Current",31.5680371922977,4
"130","Central California Current",-95.1126088546176,4
"131","Central California Current",-189.162906978473,4
"132","Central California Current",42.6869294813283,4
"133","Central California Current",-84.7289320835946,4
"134","Central California Current",60.4307260849778,4
"135","Central California Current",-47.4133043756203,4
"136","Central California Current",-165.597630901325,4
"137","Central California Current",-108.353833166459,4
"138","Central California Current",-144.221149448804,4
"139","Central California Current",-70.3433362055697,4
"140","Central California Current",-135.23410994728,4
"141","Central California Current",43.3996295879579,4
"142","Central California Current",0.569270359029744,4
"143","Central California Current",-1.51925566919984,4
"144","Central California Current",-20.6871798728076,4
"145","Central California Current",-113.766299663088,4
"146","Central California Current",-102.681312567865,4
"147","Central California Current",36.1280956635724,4
"148","Central California Current",31.658652115372,4
"149","Central California Current",-32.4664290245947,4
"150","Central California Current",-112.503940695907,4
"151","Central California Current",82.1322523892692,4
"152","Central California Current",-2.63675135111687,4
"153","Central California Current",34.0368382702211,4
"154","Central California Current",-3.13440055403108,4
"155","Central California Current",-203.385070222893,4
"156","Central California Current",-171.298090206866,4
"157","Central California Current",-128.043584941977,4
"158","Central California Current",-44.9032280844041,4
"159","Central California Current",-59.068510700591,4
"160","Central California Current",-48.7357417504084,4
"161","Central California Current",71.1498156018222,4
"162","Central California Current",83.5159359508685,4
"163","Central California Current",-37.4865746208282,4
"164","Central California Current",-93.7432671975306,4
"165","Central California Current",67.2021860659753,4
"166","Central California Current",-53.7560822472077,4
"167","Central California Current",-113.070244059421,4
