"","species","var","region","value"
"1","Sockeye","pdo2a","South",0.0469629961211501
"2","Sockeye","pdo2a","South",-0.298286554506084
"3","Sockeye","pdo2a","South",0.157470441630891
"4","Sockeye","pdo2a","South",-0.297614907581299
"5","Sockeye","pdo2a","South",-0.514693356166999
"6","Sockeye","pdo2a","South",0.14369627528585
"7","Sockeye","pdo2a","South",0.480240000494245
"8","Sockeye","pdo2a","South",-0.0129905368093531
"9","Sockeye","pdo2a","South",-0.422502159168201
"10","Sockeye","pdo2a","South",-0.198398577102789
"11","Sockeye","pdo2a","South",0.282767849311113
"12","Sockeye","pdo2a","South",0.206084608562165
"13","Sockeye","pdo2a","South",0.41240245610101
"14","Sockeye","pdo2a","South",-0.251767383124803
"15","Sockeye","pdo2a","South",0.764615155156682
"16","Sockeye","pdo2a","South",0.204591311220278
"17","Sockeye","pdo2a","South",-0.0588541033541069
"18","Sockeye","pdo2a","South",0.539493218069255
"19","Sockeye","pdo2a","South",-0.00679709859967548
"20","Sockeye","pdo2a","South",0.305963889941416
"21","Sockeye","pdo2a","South",0.485292450126817
"22","Sockeye","pdo2a","South",0.231879526664098
"23","Sockeye","pdo2a","South",-0.105164867969708
"24","Sockeye","pdo2a","South",0.319316749310246
"25","Sockeye","pdo2a","South",0.419553230964356
"26","Sockeye","pdo2a","South",0.582436576311373
"27","Sockeye","pdo2a","South",0.223151956102651
"28","Sockeye","pdo2a","South",0.254269048981678
"29","Sockeye","pdo2a","South",0.403774392130364
"30","Sockeye","pdo2a","South",0.217741869714031
"31","Sockeye","pdo2a","South",1.21137556883821
"32","Sockeye","pdo2a","South",-0.0571671656478353
"33","Sockeye","pdo2a","South",0.000686015088000483
"34","Sockeye","pdo2a","South",-0.388664878616161
"35","Sockeye","pdo2a","South",-0.460401232002189
"36","Sockeye","pdo2a","South",-0.71216229999211
"37","Sockeye","pdo2a","South",0.260898830190731
"38","Sockeye","pdo2a","South",0.00214255693157954
"39","Sockeye","pdo2a","South",0.369499644603299
"40","Sockeye","pdo2a","South",-0.445919060658381
"41","Sockeye","pdo2a","South",-0.10988124888022
"42","Sockeye","pdo2a","South",0.394305894705228
"43","Sockeye","pdo2a","South",0.668299033130856
"44","Sockeye","pdo2a","South",0.164512106307262
"45","Sockeye","pdo2a","South",-0.611157344699945
"46","Sockeye","pdo2a","South",-0.0433648951443559
"47","Sockeye","pdo2a","South",-0.138733710395299
"48","Sockeye","pdo2a","South",-0.190974735966578
"49","Sockeye","pdo2a","South",0.0219482761784853
"50","Sockeye","pdo2a","South",0.211063805385391
"51","Sockeye","pdo2a","South",0.560809602746407
"52","Sockeye","pdo2a","South",-0.0967647383273046
"53","Sockeye","pdo2a","South",-0.55934429041223
"54","Sockeye","pdo2a","South",0.120195535665444
"55","Sockeye","pdo2a","South",0.77804451738774
"56","Sockeye","pdo2a","South",-0.323950682646491
"57","Sockeye","pdo2a","South",-0.540782707335011
"58","Sockeye","pdo2a","South",-0.646390149247242
"59","Sockeye","pdo2a","South",-0.138811642749011
"60","Sockeye","pdo2a","South",0.081364704027958
"61","Sockeye","pdo2a","South",0.672596412648395
"62","Sockeye","pdo2a","South",0.447467513109606
"63","Sockeye","pdo2a","South",-0.258749085365815
"64","Sockeye","pdo2a","South",0.225069702603194
"65","Sockeye","pdo2a","South",-0.298921559934838
"66","Sockeye","pdo2a","South",3.67220203299505
"67","Sockeye","pdo2a","South",0.872724953135098
"68","Sockeye","pdo2a","South",0.305216326126023
"69","Sockeye","pdo2a","South",0.514825439377353
"70","Sockeye","pdo2a","South",0.465332430240551
"71","Sockeye","pdo2a","South",0.483695951541221
"72","Sockeye","pdo2a","South",0.533184807586734
"73","Sockeye","pdo2a","South",2.84144779439403
"74","Sockeye","pdo2a","South",0.545235214728655
"75","Sockeye","pdo2a","South",-0.214732432021304
"76","Sockeye","pdo2a","South",0.490440488869398
"77","Sockeye","pdo2a","South",0.102369374930327
"78","Sockeye","pdo2a","South",-0.768886756376548
"79","Sockeye","pdo2a","South",0.692284155360286
"80","Sockeye","pdo2a","South",-0.212060086753735
"81","Sockeye","pdo2a","South",-0.751359749445066
"82","Sockeye","pdo2a","South",-0.495958137723894
"83","Sockeye","pdo2a","South",-0.142731683516395
"84","Sockeye","pdo2a","South",-0.0730571125340445
"85","Sockeye","pdo2a","South",-0.779846209441617
"86","Sockeye","pdo2a","South",-0.182585517462931
"87","Sockeye","pdo2a","South",-0.4760346787347
"88","Sockeye","pdo2a","South",0.856574002256275
"89","Sockeye","pdo2a","South",-0.123831606666792
"90","Sockeye","pdo2a","South",-0.312453263444737
"91","Sockeye","pdo2a","South",-0.148343740760641
"92","Sockeye","pdo2a","South",-0.23566970728809
"93","Sockeye","pdo2a","South",-0.48396407599611
"94","Sockeye","pdo2a","South",-0.843488597901165
"95","Sockeye","pdo2a","South",-0.636002614636194
"96","Sockeye","pdo2a","South",-0.357586180163846
"97","Sockeye","pdo2a","South",0.101247100916901
"98","Sockeye","pdo2a","South",0.263753120632667
"99","Sockeye","pdo2a","South",-0.389065035060457
"100","Sockeye","pdo2a","South",0.67504203976179
"101","Sockeye","pdo2a","South",-0.374701804272247
"102","Sockeye","pdo2a","South",0.00303222131426365
"103","Sockeye","pdo2a","South",0.276643596982214
"104","Sockeye","pdo2a","South",0.511498715862642
"105","Sockeye","pdo2a","South",-0.0508577908428608
"106","Sockeye","pdo2a","South",0.203779553005204
"107","Sockeye","pdo2a","South",0.488365021000379
"108","Sockeye","pdo2a","South",0.570976047000936
"109","Sockeye","pdo2a","South",-0.13551311876494
"110","Sockeye","pdo2a","South",0.131903134166164
"111","Sockeye","pdo2a","South",0.480728896110426
"112","Sockeye","pdo2a","South",0.366777704058114
"113","Sockeye","pdo2a","South",-1.55916686281905
"114","Sockeye","pdo2a","South",-1.69413840944316
"115","Sockeye","pdo2a","South",1.22998893609977
"116","Sockeye","pdo2a","South",-0.339624644179905
"117","Sockeye","pdo2a","South",0.0651366708858107
"118","Sockeye","pdo2a","South",0.0535106696112
"119","Sockeye","pdo2a","South",0.15461680574344
"120","Sockeye","pdo2a","South",1.60413031334555
"121","Sockeye","pdo2a","South",0.120277605809251
"122","Sockeye","pdo2a","South",0.366620823391271
"123","Sockeye","pdo2a","South",-0.0885336202205187
"124","Sockeye","pdo2a","South",0.202583860553763
"125","Sockeye","pdo2a","South",0.550444852218469
"126","Sockeye","pdo2a","South",-0.629040817781272
"127","Sockeye","pdo2a","South",0.234053943917815
"128","Sockeye","pdo2a","South",0.291168054316168
"129","Sockeye","pdo2a","South",0.895820648202206
"130","Sockeye","pdo2a","South",1.19912071603695
"131","Sockeye","pdo2a","South",0.0462810570911463
"132","Sockeye","pdo2a","South",-1.09833584760342
"133","Sockeye","pdo2a","South",-0.000157091485190558
"134","Sockeye","pdo2a","South",0.296859783993914
"135","Sockeye","pdo2a","South",0.336448992635244
"136","Sockeye","pdo2a","South",-0.740398095030829
"137","Sockeye","pdo2a","South",-0.083313023243583
"138","Sockeye","pdo2a","South",-0.0671213644383312
"139","Sockeye","pdo2a","South",0.0277118018609791
"140","Sockeye","pdo2a","South",-0.418972191677623
"141","Sockeye","pdo2a","South",-0.32734511938853
"142","Sockeye","pdo2a","South",0.0669000439442059
"143","Sockeye","pdo2a","South",0.000426414228455116
"144","Sockeye","pdo2a","South",0.177996006389121
"145","Sockeye","pdo2a","South",0.31427790118505
"146","Sockeye","pdo2a","South",-0.186291428232105
"147","Sockeye","pdo2a","South",-0.192851614555459
"148","Sockeye","pdo2a","South",0.0449397262238415
"149","Sockeye","pdo2a","South",-0.470981313831489
"150","Sockeye","pdo2a","South",0.553511460369529
"151","Sockeye","pdo2a","South",0.534707404072791
"152","Sockeye","pdo2a","South",0.235818990169407
"153","Sockeye","pdo2a","South",1.22732627000409
"154","Sockeye","pdo2a","South",-0.0150311423914974
"155","Sockeye","pdo2a","South",-0.0744955912150998
"156","Sockeye","pdo2a","South",1.17149659645644
"157","Sockeye","pdo2a","South",-0.184252040217641
