"","species","var","value"
"mu_beta[1]","Sockeye","pdo2a",1556.05307902001
"mu_beta[2]","Sockeye","pdo2a",1392.78954214684
"mu_beta[3]","Sockeye","pdo2a",1570.34095409086
"sigma_beta[1]","Sockeye","pdo2a",1126.95406632321
"sigma_beta[2]","Sockeye","pdo2a",841.858589075898
"sigma_beta[3]","Sockeye","pdo2a",1133.3285259236
"beta[1]","Sockeye","pdo2a",1234.49626459451
"beta[2]","Sockeye","pdo2a",1319.93084800019
"beta[3]","Sockeye","pdo2a",1358.62827827813
"beta[4]","Sockeye","pdo2a",1355.26929993443
"beta[5]","Sockeye","pdo2a",1359.80883872142
"beta[6]","Sockeye","pdo2a",1305.79824696543
"beta[7]","Sockeye","pdo2a",1430.11633919687
"beta[8]","Sockeye","pdo2a",1495.45177405858
"beta[9]","Sockeye","pdo2a",1404.79656570434
"beta[10]","Sockeye","pdo2a",1606.11708321698
"beta[11]","Sockeye","pdo2a",1483.23379982815
"beta[12]","Sockeye","pdo2a",1551.23271856465
"beta[13]","Sockeye","pdo2a",1369.41066611749
"beta[14]","Sockeye","pdo2a",1505.71873577959
"beta[15]","Sockeye","pdo2a",1623.43764322666
"beta[16]","Sockeye","pdo2a",1451.85124115744
"beta[17]","Sockeye","pdo2a",1406.19597096841
"beta[18]","Sockeye","pdo2a",1552.18747009606
"beta[19]","Sockeye","pdo2a",1146.0721129047
"beta[20]","Sockeye","pdo2a",1522.66611282176
"beta[21]","Sockeye","pdo2a",1424.11001219632
"beta[22]","Sockeye","pdo2a",1417.03593820479
"beta[23]","Sockeye","pdo2a",1372.67374520423
"beta[24]","Sockeye","pdo2a",1528.58286580406
"beta[25]","Sockeye","pdo2a",1395.32761943816
"beta[26]","Sockeye","pdo2a",1445.13706173021
"beta[27]","Sockeye","pdo2a",1411.27439601529
"beta[28]","Sockeye","pdo2a",1342.78952224501
"beta[29]","Sockeye","pdo2a",1475.23912050224
"beta[30]","Sockeye","pdo2a",1537.26193823278
"mu_ratio[1]","Sockeye","pdo2a",1319.43091973794
"mu_ratio[2]","Sockeye","pdo2a",1070.65762036665
"mu_ratio[3]","Sockeye","pdo2a",756.59355157627
"sigma_ratio[1]","Sockeye","pdo2a",996.442801167761
"sigma_ratio[2]","Sockeye","pdo2a",625.620843973845
"sigma_ratio[3]","Sockeye","pdo2a",684.120516039059
"ratio[1]","Sockeye","pdo2a",1386.58118064603
"ratio[2]","Sockeye","pdo2a",1169.88910378322
"ratio[3]","Sockeye","pdo2a",1109.53070434348
"ratio[4]","Sockeye","pdo2a",787.416183415315
"ratio[5]","Sockeye","pdo2a",1247.09547404953
"ratio[6]","Sockeye","pdo2a",894.954281580579
"ratio[7]","Sockeye","pdo2a",934.983148726022
"ratio[8]","Sockeye","pdo2a",1109.67581394148
"ratio[9]","Sockeye","pdo2a",1396.86405188719
"ratio[10]","Sockeye","pdo2a",902.820514092398
"ratio[11]","Sockeye","pdo2a",1209.42442561803
"ratio[12]","Sockeye","pdo2a",805.448769620555
"ratio[13]","Sockeye","pdo2a",1432.56587460611
"ratio[14]","Sockeye","pdo2a",1375.40682534796
"ratio[15]","Sockeye","pdo2a",1223.035416418
"ratio[16]","Sockeye","pdo2a",1312.54206131278
