"","species","var","value"
"mu_beta[1]","Sockeye","pdo2a",0.999762040302154
"mu_beta[2]","Sockeye","pdo2a",0.999694269319214
"mu_beta[3]","Sockeye","pdo2a",0.999240809885303
"sigma_beta[1]","Sockeye","pdo2a",1.00095300207215
"sigma_beta[2]","Sockeye","pdo2a",0.999741386661755
"sigma_beta[3]","Sockeye","pdo2a",1.00081585647144
"beta[1]","Sockeye","pdo2a",1.00314184548578
"beta[2]","Sockeye","pdo2a",0.998858970150819
"beta[3]","Sockeye","pdo2a",1.00137677330631
"beta[4]","Sockeye","pdo2a",0.999468938435573
"beta[5]","Sockeye","pdo2a",0.999862775737086
"beta[6]","Sockeye","pdo2a",0.999536016024226
"beta[7]","Sockeye","pdo2a",1.00021132096222
"beta[8]","Sockeye","pdo2a",0.999211443171023
"beta[9]","Sockeye","pdo2a",1.00014428076195
"beta[10]","Sockeye","pdo2a",0.999019251152105
"beta[11]","Sockeye","pdo2a",0.999931422725761
"beta[12]","Sockeye","pdo2a",0.999811576540095
"beta[13]","Sockeye","pdo2a",1.0008116921445
"beta[14]","Sockeye","pdo2a",1.00098548131046
"beta[15]","Sockeye","pdo2a",0.999884617319761
"beta[16]","Sockeye","pdo2a",0.999489086447516
"beta[17]","Sockeye","pdo2a",1.00076725717719
"beta[18]","Sockeye","pdo2a",0.999039897805918
"beta[19]","Sockeye","pdo2a",0.999010882985263
"beta[20]","Sockeye","pdo2a",1.00129750574562
"beta[21]","Sockeye","pdo2a",1.00049399381208
"beta[22]","Sockeye","pdo2a",0.999973901156466
"beta[23]","Sockeye","pdo2a",1.00137384053403
"beta[24]","Sockeye","pdo2a",1.0023634444656
"beta[25]","Sockeye","pdo2a",0.999692912912864
"beta[26]","Sockeye","pdo2a",0.999375096238562
"beta[27]","Sockeye","pdo2a",1.00588620253377
"beta[28]","Sockeye","pdo2a",1.00036673339761
"beta[29]","Sockeye","pdo2a",0.999358679146478
"beta[30]","Sockeye","pdo2a",1.00226249385349
"mu_ratio[1]","Sockeye","pdo2a",0.999685865413803
"mu_ratio[2]","Sockeye","pdo2a",0.999601605941633
"mu_ratio[3]","Sockeye","pdo2a",1.00299979163115
"sigma_ratio[1]","Sockeye","pdo2a",0.999661541262332
"sigma_ratio[2]","Sockeye","pdo2a",1.00706370669443
"sigma_ratio[3]","Sockeye","pdo2a",1.0008696335653
"ratio[1]","Sockeye","pdo2a",1.00123350209105
"ratio[2]","Sockeye","pdo2a",1.00047634916268
"ratio[3]","Sockeye","pdo2a",1.00046628407971
"ratio[4]","Sockeye","pdo2a",1.00080847905691
"ratio[5]","Sockeye","pdo2a",0.998750733323886
"ratio[6]","Sockeye","pdo2a",0.999767797765455
"ratio[7]","Sockeye","pdo2a",1.00101181023233
"ratio[8]","Sockeye","pdo2a",1.00068157425713
"ratio[9]","Sockeye","pdo2a",0.999206349246503
"ratio[10]","Sockeye","pdo2a",1.0009066310231
"ratio[11]","Sockeye","pdo2a",0.999487346931796
"ratio[12]","Sockeye","pdo2a",1.00468377607269
"ratio[13]","Sockeye","pdo2a",1.0002200228775
"ratio[14]","Sockeye","pdo2a",0.999126120281107
"ratio[15]","Sockeye","pdo2a",1.00076465673894
"ratio[16]","Sockeye","pdo2a",0.999278072903354
"ratio[17]","Sockeye","pdo2a",1.00203402468606
"ratio[18]","Sockeye","pdo2a",1.00008166311071
"ratio[19]","Sockeye","pdo2a",0.999086614993106
"ratio[20]","Sockeye","pdo2a",0.999676594749823
"ratio[21]","Sockeye","pdo2a",0.999964540345157
"ratio[22]","Sockeye","pdo2a",1.00546765020175
"ratio[23]","Sockeye","pdo2a",1.00056692361444
"ratio[24]","Sockeye","pdo2a",0.99929425469385
"ratio[25]","Sockeye","pdo2a",0.999225028976408
"ratio[26]","Sockeye","pdo2a",1.00094138532392
"ratio[27]","Sockeye","pdo2a",0.998383713824875
"ratio[28]","Sockeye","pdo2a",0.999664389656746
"ratio[29]","Sockeye","pdo2a",1.00082619033012
"ratio[30]","Sockeye","pdo2a",0.999104257885255
"ricker_mu_alpha","Sockeye","pdo2a",1.00338189796001
"ricker_sigma_alpha","Sockeye","pdo2a",0.999180103849494
"ricker_alpha[1]","Sockeye","pdo2a",0.998791872391103
"ricker_alpha[2]","Sockeye","pdo2a",0.998747329745211
"ricker_alpha[3]","Sockeye","pdo2a",0.998596114401104
"ricker_alpha[4]","Sockeye","pdo2a",0.999975110659666
"ricker_alpha[5]","Sockeye","pdo2a",0.999086268470833
"ricker_alpha[6]","Sockeye","pdo2a",1.00287873544349
"ricker_alpha[7]","Sockeye","pdo2a",1.001548258612
"ricker_alpha[8]","Sockeye","pdo2a",0.999144057711476
"ricker_alpha[9]","Sockeye","pdo2a",0.999519898644911
"ricker_alpha[10]","Sockeye","pdo2a",1.00356172690139
"ricker_alpha[11]","Sockeye","pdo2a",0.999185380935901
"ricker_alpha[12]","Sockeye","pdo2a",1.00157763503628
"ricker_alpha[13]","Sockeye","pdo2a",1.00071927658636
"ricker_alpha[14]","Sockeye","pdo2a",1.00064389544818
"ricker_alpha[15]","Sockeye","pdo2a",1.00146834593074
"ricker_alpha[16]","Sockeye","pdo2a",0.999926360997282
"ricker_alpha[17]","Sockeye","pdo2a",0.999902938283432
"ricker_alpha[18]","Sockeye","pdo2a",0.999855489193265
"ricker_alpha[19]","Sockeye","pdo2a",0.999126038387292
"ricker_alpha[20]","Sockeye","pdo2a",0.999197963020918
"ricker_alpha[21]","Sockeye","pdo2a",1.00143102070941
"ricker_alpha[22]","Sockeye","pdo2a",1.002348604089
"ricker_alpha[23]","Sockeye","pdo2a",1.00101027121778
"ricker_alpha[24]","Sockeye","pdo2a",0.999911045773419
"ricker_alpha[25]","Sockeye","pdo2a",1.00005150117095
"ricker_alpha[26]","Sockeye","pdo2a",0.999408878048615
"ricker_alpha[27]","Sockeye","pdo2a",1.00161471115363
"ricker_alpha[28]","Sockeye","pdo2a",0.999741002629266
"ricker_alpha[29]","Sockeye","pdo2a",0.999963440180714
"ricker_alpha[30]","Sockeye","pdo2a",0.998597012632207
"ricker_beta[1]","Sockeye","pdo2a",0.998991411532947
"ricker_beta[2]","Sockeye","pdo2a",1.00098563420279
"ricker_beta[3]","Sockeye","pdo2a",0.998796029412513
"ricker_beta[4]","Sockeye","pdo2a",0.999375700430988
"ricker_beta[5]","Sockeye","pdo2a",0.999099097671481
"ricker_beta[6]","Sockeye","pdo2a",1.00219152254889
"ricker_beta[7]","Sockeye","pdo2a",0.999978731271704
"ricker_beta[8]","Sockeye","pdo2a",1.00019474775869
"ricker_beta[9]","Sockeye","pdo2a",0.99844242070566
"ricker_beta[10]","Sockeye","pdo2a",1.00131779392137
"ricker_beta[11]","Sockeye","pdo2a",0.998455126312078
"ricker_beta[12]","Sockeye","pdo2a",0.999508823198894
"ricker_beta[13]","Sockeye","pdo2a",1.00001023165344
"ricker_beta[14]","Sockeye","pdo2a",1.00133082069381
"ricker_beta[15]","Sockeye","pdo2a",1.00184812331876
"ricker_beta[16]","Sockeye","pdo2a",1.00131146164083
"ricker_beta[17]","Sockeye","pdo2a",0.998735509444398
"ricker_beta[18]","Sockeye","pdo2a",0.999139343041819
"ricker_beta[19]","Sockeye","pdo2a",1.00173712682122
"ricker_beta[20]","Sockeye","pdo2a",0.999339909557996
"ricker_beta[21]","Sockeye","pdo2a",1.00339839110822
"ricker_beta[22]","Sockeye","pdo2a",1.00335664140193
"ricker_beta[23]","Sockeye","pdo2a",1.00268857087008
"ricker_beta[24]","Sockeye","pdo2a",1.00029891136772
"ricker_beta[25]","Sockeye","pdo2a",0.999665998848319
"ricker_beta[26]","Sockeye","pdo2a",0.999312236392193
"ricker_beta[27]","Sockeye","pdo2a",1.0017836845563
"ricker_beta[28]","Sockeye","pdo2a",1.00002108943027
"ricker_beta[29]","Sockeye","pdo2a",0.999934627956009
"ricker_beta[30]","Sockeye","pdo2a",0.998288700738869
"sigma_resid[1]","Sockeye","pdo2a",1.00021382359341
"sigma_resid[2]","Sockeye","pdo2a",0.999514712126523
"sigma_resid[3]","Sockeye","pdo2a",0.999312180245358
"sigma_resid[4]","Sockeye","pdo2a",1.00034698068878
"sigma_resid[5]","Sockeye","pdo2a",1.00031056556154
"sigma_resid[6]","Sockeye","pdo2a",0.999091719966027
"sigma_resid[7]","Sockeye","pdo2a",0.99884255903184
"sigma_resid[8]","Sockeye","pdo2a",0.999903001093046
"sigma_resid[9]","Sockeye","pdo2a",0.99988280444396
"sigma_resid[10]","Sockeye","pdo2a",0.999344602259302
"sigma_resid[11]","Sockeye","pdo2a",1.00049516506064
"sigma_resid[12]","Sockeye","pdo2a",0.999283128098539
"sigma_resid[13]","Sockeye","pdo2a",1.00053033590471
"sigma_resid[14]","Sockeye","pdo2a",1.00389005371615
"sigma_resid[15]","Sockeye","pdo2a",1.0028078027376
"sigma_resid[16]","Sockeye","pdo2a",0.999331091694094
"sigma_resid[17]","Sockeye","pdo2a",1.00062345852877
"sigma_resid[18]","Sockeye","pdo2a",0.99995072047168
"sigma_resid[19]","Sockeye","pdo2a",0.999728108939812
"sigma_resid[20]","Sockeye","pdo2a",0.998730139481424
"sigma_resid[21]","Sockeye","pdo2a",0.998998743504462
"sigma_resid[22]","Sockeye","pdo2a",1.00052794635823
"sigma_resid[23]","Sockeye","pdo2a",0.999146128501035
"sigma_resid[24]","Sockeye","pdo2a",1.00197241347847
"sigma_resid[25]","Sockeye","pdo2a",1.0070543907832
"sigma_resid[26]","Sockeye","pdo2a",0.999363910965919
"sigma_resid[27]","Sockeye","pdo2a",1.00101291346492
"sigma_resid[28]","Sockeye","pdo2a",0.999690003737182
"sigma_resid[29]","Sockeye","pdo2a",0.999653587533997
"sigma_resid[30]","Sockeye","pdo2a",1.0006864003076
"phi","Sockeye","pdo2a",1.00141202182749
"init_residual[1]","Sockeye","pdo2a",0.998491123962389
"init_residual[2]","Sockeye","pdo2a",0.999217391150497
"init_residual[3]","Sockeye","pdo2a",0.999734777554746
"init_residual[4]","Sockeye","pdo2a",1.00002747942931
"init_residual[5]","Sockeye","pdo2a",1.00097597746274
"init_residual[6]","Sockeye","pdo2a",0.999171654076277
"init_residual[7]","Sockeye","pdo2a",1.00085317470717
"init_residual[8]","Sockeye","pdo2a",0.998953854705043
"init_residual[9]","Sockeye","pdo2a",0.999815715309333
"init_residual[10]","Sockeye","pdo2a",0.998354168531711
"init_residual[11]","Sockeye","pdo2a",0.999416620365212
"init_residual[12]","Sockeye","pdo2a",0.998827888812403
