"","species","var","value"
"beta[1]","Sockeye","pdo2a",5215.19393914065
"beta[2]","Sockeye","pdo2a",5033.9618432964
"beta[3]","Sockeye","pdo2a",4738.67360435974
"beta[4]","Sockeye","pdo2a",5112.03740236625
"beta[5]","Sockeye","pdo2a",4997.39593102433
"beta[6]","Sockeye","pdo2a",4659.25470694776
"beta[7]","Sockeye","pdo2a",5118.14982776924
"beta[8]","Sockeye","pdo2a",4855.20302477531
"beta[9]","Sockeye","pdo2a",5022.66336236014
"beta[10]","Sockeye","pdo2a",4791.41505865384
"beta[11]","Sockeye","pdo2a",4842.68259076581
"beta[12]","Sockeye","pdo2a",5043.32224386157
"beta[13]","Sockeye","pdo2a",4828.09934989726
"beta[14]","Sockeye","pdo2a",5139.83540060096
"beta[15]","Sockeye","pdo2a",5192.77795547653
"beta[16]","Sockeye","pdo2a",4978.47247918245
"beta[17]","Sockeye","pdo2a",4961.79059368287
"beta[18]","Sockeye","pdo2a",4999.38318687127
"beta[19]","Sockeye","pdo2a",5022.19270021894
"beta[20]","Sockeye","pdo2a",4761.58855060333
"beta[21]","Sockeye","pdo2a",4979.2540816009
"beta[22]","Sockeye","pdo2a",4831.47687933352
"beta[23]","Sockeye","pdo2a",4962.89922190792
"beta[24]","Sockeye","pdo2a",4635.40058451483
"beta[25]","Sockeye","pdo2a",4758.23732804917
"beta[26]","Sockeye","pdo2a",4648.74833508484
"beta[27]","Sockeye","pdo2a",4867.70352170282
"beta[28]","Sockeye","pdo2a",4988.75890540474
"beta[29]","Sockeye","pdo2a",4528.0512720315
"beta[30]","Sockeye","pdo2a",4795.22533623968
"ratio[1]","Sockeye","pdo2a",4942.65275594589
"ratio[2]","Sockeye","pdo2a",5194.54760925015
"ratio[3]","Sockeye","pdo2a",5089.55579889007
"ricker_mu_alpha","Sockeye","pdo2a",4954.58150249924
"ricker_sigma_alpha","Sockeye","pdo2a",5051.10187781462
"ricker_alpha[1]","Sockeye","pdo2a",5001.09354762965
"ricker_alpha[2]","Sockeye","pdo2a",5008.78591431207
"ricker_alpha[3]","Sockeye","pdo2a",4849.30396570299
"ricker_alpha[4]","Sockeye","pdo2a",5073.63953846101
"ricker_alpha[5]","Sockeye","pdo2a",4480.49646155022
"ricker_alpha[6]","Sockeye","pdo2a",5025.3046004831
"ricker_alpha[7]","Sockeye","pdo2a",4719.15380749392
"ricker_alpha[8]","Sockeye","pdo2a",4980.9387369188
"ricker_alpha[9]","Sockeye","pdo2a",5188.34760625249
"ricker_alpha[10]","Sockeye","pdo2a",4802.07971324597
"ricker_alpha[11]","Sockeye","pdo2a",5013.33516474514
"ricker_alpha[12]","Sockeye","pdo2a",5119.31716613354
"ricker_alpha[13]","Sockeye","pdo2a",4952.34588675608
"ricker_alpha[14]","Sockeye","pdo2a",4969.88342047069
"ricker_alpha[15]","Sockeye","pdo2a",4893.31399525259
"ricker_alpha[16]","Sockeye","pdo2a",4906.44302068239
"ricker_alpha[17]","Sockeye","pdo2a",4990.41327254192
