"","species","var","value"
"beta[1]","Sockeye","pdo2a",0.999507997373126
"beta[2]","Sockeye","pdo2a",0.999731147086698
"beta[3]","Sockeye","pdo2a",0.999847277679794
"beta[4]","Sockeye","pdo2a",0.999984862463623
"beta[5]","Sockeye","pdo2a",0.999645742504616
"beta[6]","Sockeye","pdo2a",0.999639951572411
"beta[7]","Sockeye","pdo2a",0.999921415820448
"beta[8]","Sockeye","pdo2a",0.99965439093186
"beta[9]","Sockeye","pdo2a",0.999910121376475
"beta[10]","Sockeye","pdo2a",0.999872615794321
"beta[11]","Sockeye","pdo2a",0.999921719828439
"beta[12]","Sockeye","pdo2a",0.999568613803667
"beta[13]","Sockeye","pdo2a",1.00016217027305
"beta[14]","Sockeye","pdo2a",1.00036035918217
"beta[15]","Sockeye","pdo2a",0.999543904155913
"beta[16]","Sockeye","pdo2a",1.00004831673038
"beta[17]","Sockeye","pdo2a",1.00065056487097
"beta[18]","Sockeye","pdo2a",1.00014436328225
"beta[19]","Sockeye","pdo2a",0.999596166003037
"beta[20]","Sockeye","pdo2a",1.00058483827853
"beta[21]","Sockeye","pdo2a",0.999859751830275
"beta[22]","Sockeye","pdo2a",0.999819645716587
"beta[23]","Sockeye","pdo2a",0.999517054502298
"beta[24]","Sockeye","pdo2a",1.00032427217667
"beta[25]","Sockeye","pdo2a",0.999963409281268
"beta[26]","Sockeye","pdo2a",1.00121198225449
"beta[27]","Sockeye","pdo2a",0.999947923778063
"beta[28]","Sockeye","pdo2a",0.999687123598098
"beta[29]","Sockeye","pdo2a",1.00045700556576
"beta[30]","Sockeye","pdo2a",0.999919980669317
"ratio[1]","Sockeye","pdo2a",1.00002212128748
"ratio[2]","Sockeye","pdo2a",0.999787109466681
"ratio[3]","Sockeye","pdo2a",0.99994577968288
"ricker_mu_alpha","Sockeye","pdo2a",0.999632936595062
"ricker_sigma_alpha","Sockeye","pdo2a",0.999695922562135
"ricker_alpha[1]","Sockeye","pdo2a",1.00051706401131
"ricker_alpha[2]","Sockeye","pdo2a",1.00050488980058
"ricker_alpha[3]","Sockeye","pdo2a",1.00006206809705
"ricker_alpha[4]","Sockeye","pdo2a",0.999717024772501
"ricker_alpha[5]","Sockeye","pdo2a",1.00015951816491
"ricker_alpha[6]","Sockeye","pdo2a",0.999500723636441
"ricker_alpha[7]","Sockeye","pdo2a",1.00037221943996
"ricker_alpha[8]","Sockeye","pdo2a",0.999769144585176
"ricker_alpha[9]","Sockeye","pdo2a",0.99962557550705
"ricker_alpha[10]","Sockeye","pdo2a",0.999850134189116
"ricker_alpha[11]","Sockeye","pdo2a",1.00013376721803
"ricker_alpha[12]","Sockeye","pdo2a",0.999764997164912
"ricker_alpha[13]","Sockeye","pdo2a",0.999589419769083
"ricker_alpha[14]","Sockeye","pdo2a",1.0002573652924
"ricker_alpha[15]","Sockeye","pdo2a",1.00038074888258
"ricker_alpha[16]","Sockeye","pdo2a",1.00001721021889
"ricker_alpha[17]","Sockeye","pdo2a",0.999879757303419
"ricker_alpha[18]","Sockeye","pdo2a",0.999791381160025
"ricker_alpha[19]","Sockeye","pdo2a",1.00028604610051
"ricker_alpha[20]","Sockeye","pdo2a",0.999547203641615
"ricker_alpha[21]","Sockeye","pdo2a",0.999892594205126
"ricker_alpha[22]","Sockeye","pdo2a",0.999630817245478
"ricker_alpha[23]","Sockeye","pdo2a",0.99996328162999
